Country,Code,Income_group,Year,Animal_calories,GDP,Population
Afghanistan,AFG,Low income,1948,,,7503485
Afghanistan,AFG,Low income,1866,,,4061270
Afghanistan,AFG,Low income,1955,,1246,7971933
Afghanistan,AFG,Low income,1953,,1240,7764549
Afghanistan,AFG,Low income,1977,2.330253114,1022,12687308
Afghanistan,AFG,Low income,1865,,,4041107
Afghanistan,AFG,Low income,1873,,,4205274
Afghanistan,AFG,Low income,2021,,,40099460
Afghanistan,AFG,Low income,1975,2.072674419,1074,12157390
Afghanistan,AFG,Low income,1974,2.084777,1039,11869881
Afghanistan,AFG,Low income,1867,,,4081532
Afghanistan,AFG,Low income,1976,2.128895184,1105,12425276
Afghanistan,AFG,Low income,1949,,,7624058
Afghanistan,AFG,Low income,1868,,,4101893
Afghanistan,AFG,Low income,2012,2.335238095,1945,30466484
Afghanistan,AFG,Low income,1952,,1189,7667534
Afghanistan,AFG,Low income,1870,,,4142928
Afghanistan,AFG,Low income,1951,,1170,7571542
Afghanistan,AFG,Low income,1973,2.052186696,1011,11575308
Afghanistan,AFG,Low income,1910,,,5681487
Afghanistan,AFG,Low income,2013,2.338755981,2025,31541216
Afghanistan,AFG,Low income,1821,,,3297661
Afghanistan,AFG,Low income,1822,,,3309479
Afghanistan,AFG,Low income,1874,,,4226265
Afghanistan,AFG,Low income,1969,2.342759796,1278,10494491
Afghanistan,AFG,Low income,1871,,,4163604
Afghanistan,AFG,Low income,1827,,,3384173
Afghanistan,AFG,Low income,1879,,,4332759
Afghanistan,AFG,Low income,2020,,,38972236
Afghanistan,AFG,Low income,1922,,,10252425
Afghanistan,AFG,Low income,1950,,1156,7480464
Afghanistan,AFG,Low income,1730,,,2679387
Afghanistan,AFG,Low income,1862,,,3981200
Afghanistan,AFG,Low income,1972,1.987960873,1007,11286753
Afghanistan,AFG,Low income,1864,,,4021041
Afghanistan,AFG,Low income,1907,,,5262120
Afghanistan,AFG,Low income,1954,,1245,7864289
Afghanistan,AFG,Low income,1929,,,7099916
Afghanistan,AFG,Low income,1930,,,6866773
Afghanistan,AFG,Low income,1790,,,3066156
Afghanistan,AFG,Low income,1876,,,4268552
Afghanistan,AFG,Low income,1872,,,4184386
Afghanistan,AFG,Low income,1877,,,4289851
Afghanistan,AFG,Low income,1947,,,7390182
Afghanistan,AFG,Low income,2011,2.312292359,1792,29249156
Afghanistan,AFG,Low income,1878,,,4311253
Afghanistan,AFG,Low income,1720,,,2619846
Afghanistan,AFG,Low income,1925,,,8721710
Afghanistan,AFG,Low income,1926,,,8264058
Afghanistan,AFG,Low income,2019,,,37769496
Afghanistan,AFG,Low income,1823,,,3324285
Afghanistan,AFG,Low income,1824,,,3339157
Afghanistan,AFG,Low income,1826,,,3369101
Afghanistan,AFG,Low income,1875,,,4247357
Afghanistan,AFG,Low income,1869,,,4122358
Afghanistan,AFG,Low income,1828,,,3399313
Afghanistan,AFG,Low income,1924,,,9204707
Afghanistan,AFG,Low income,1923,,,9714452
Afghanistan,AFG,Low income,1861,,,3961424
Afghanistan,AFG,Low income,1945,,,7168681
Afghanistan,AFG,Low income,1863,,,4001072
Afghanistan,AFG,Low income,1971,2.27866242,1237,11015853
Afghanistan,AFG,Low income,1908,,,5330065
Afghanistan,AFG,Low income,1928,,,7419535
Afghanistan,AFG,Low income,1884,,,4441869
Afghanistan,AFG,Low income,1780,,,2998015
Afghanistan,AFG,Low income,1912,,,6363186
Afghanistan,AFG,Low income,1989,2.430544273,999,10673172
Afghanistan,AFG,Low income,1914,,,7365181
Afghanistan,AFG,Low income,1919,,,10338650
Afghanistan,AFG,Low income,2010,2.302281369,1627.67163085938,28189672
Afghanistan,AFG,Low income,1917,,,9171589
Afghanistan,AFG,Low income,1710,,,2561614
Afghanistan,AFG,Low income,1979,2.235787867,1023,12986378
Afghanistan,AFG,Low income,1956,,1278,8087730
Afghanistan,AFG,Low income,1970,2.413575375,1272,10752973
Afghanistan,AFG,Low income,1968,2.394790953,1290,10247782
Afghanistan,AFG,Low income,1000,,,2250002
Afghanistan,AFG,Low income,1909,,,5467828
Afghanistan,AFG,Low income,1988,2.328832407,1101,10383459
Afghanistan,AFG,Low income,1911,,,5977589
Afghanistan,AFG,Low income,1886,,,4486259
Afghanistan,AFG,Low income,1921,,,10531818
Afghanistan,AFG,Low income,1920,,,10558857
Afghanistan,AFG,Low income,1300,,,1749998
Afghanistan,AFG,Low income,1859,,,3922160
Afghanistan,AFG,Low income,1944,,,7060433
Afghanistan,AFG,Low income,1819,,,3282935
Afghanistan,AFG,Low income,1740,,,2740283
Afghanistan,AFG,Low income,1750,,,2802568
Afghanistan,AFG,Low income,1927,,,7830419
Afghanistan,AFG,Low income,1770,,,2931400
Afghanistan,AFG,Low income,1825,,,3354095
Afghanistan,AFG,Low income,1885,,,4464010
Afghanistan,AFG,Low income,1986,2.144347101,1344,10448447
Afghanistan,AFG,Low income,1916,,,8524936
Afghanistan,AFG,Low income,1400,,,1874998
Afghanistan,AFG,Low income,1888,,,4531082
Afghanistan,AFG,Low income,2009,2.245074483,1557.32055664062,27385310
Afghanistan,AFG,Low income,1700,,,2500001
Afghanistan,AFG,Low income,1829,,,3414520
Afghanistan,AFG,Low income,1946,,,7278589
Afghanistan,AFG,Low income,1906,,,5195038
Afghanistan,AFG,Low income,900,,,2299999
Afghanistan,AFG,Low income,1967,2.257825648,1277,10010037
Afghanistan,AFG,Low income,1883,,,4419835
Afghanistan,AFG,Low income,1100,,,2375009
Afghanistan,AFG,Low income,1960,,1326,8622473
Afghanistan,AFG,Low income,1200,,,2500001
Afghanistan,AFG,Low income,2008,2.312591867,1319.607421875,26427204
Afghanistan,AFG,Low income,2007,2.240469208,1259.99670410156,25903306
Afghanistan,AFG,Low income,2017,,2014.74523925781,35643420
Afghanistan,AFG,Low income,1943,,,6953820
Afghanistan,AFG,Low income,1903,,,4998861
Afghanistan,AFG,Low income,1978,2.228157192,1070,12938864
Afghanistan,AFG,Low income,1957,,1253,8210207
Afghanistan,AFG,Low income,1880,,,4354370
Afghanistan,AFG,Low income,1881,,,4376086
Afghanistan,AFG,Low income,700,,,2425001
Afghanistan,AFG,Low income,1985,2.486891386,1304,10512220
Afghanistan,AFG,Low income,2000,3.30726257,502.372711181641,19542986
Afghanistan,AFG,Low income,1987,2.060872754,1211,10322767
Afghanistan,AFG,Low income,1915,,,7923871
Afghanistan,AFG,Low income,1913,,,6845878
Afghanistan,AFG,Low income,1858,,,3902671
Afghanistan,AFG,Low income,1889,,,4553657
Afghanistan,AFG,Low income,1918,,,9875230
Afghanistan,AFG,Low income,1904,,,5063419
Afghanistan,AFG,Low income,1905,,,5128808
Afghanistan,AFG,Low income,1817,,,3280000
Afghanistan,AFG,Low income,1820,,,3288817
Afghanistan,AFG,Low income,1882,,,4397907
Afghanistan,AFG,Low income,1760,,,2866257
Afghanistan,AFG,Low income,1959,,1307,8468220
Afghanistan,AFG,Low income,2014,,2022,32716214
