Country,Income_group,Code,Year,Cereal_energy_share,GDP,Population
Afghanistan,Low income,AFG,-9000,,,20405
Afghanistan,Low income,AFG,-8000,,,28253
Afghanistan,Low income,AFG,1884,,,4441869
Afghanistan,Low income,AFG,1800,,,3280000
Afghanistan,Low income,AFG,1921,,,10531818
Afghanistan,Low income,AFG,-7000,,,39120
Afghanistan,Low income,AFG,1883,,,4419835
Afghanistan,Low income,AFG,-10000,,,14737
Afghanistan,Low income,AFG,1880,,,4354370
Afghanistan,Low income,AFG,1879,,,4332759
Afghanistan,Low income,AFG,2020,,1970.56018066406,38972236
Afghanistan,Low income,AFG,1920,,,10558857
Afghanistan,Low income,AFG,1910,,,5681487
Afghanistan,Low income,AFG,1898,,,4761826
Afghanistan,Low income,AFG,1885,,,4464010
Afghanistan,Low income,AFG,1780,,,2998015
Afghanistan,Low income,AFG,1886,,,4486259
Afghanistan,Low income,AFG,-6000,,,54166
Afghanistan,Low income,AFG,1897,,,4738246
Afghanistan,Low income,AFG,1881,,,4376086
Afghanistan,Low income,AFG,1770,,,2931400
Afghanistan,Low income,AFG,2015,,2068.26586914062,33753500
Afghanistan,Low income,AFG,1000,,,2250002
Afghanistan,Low income,AFG,1922,,,10252425
Afghanistan,Low income,AFG,1843,,,3634711
Afghanistan,Low income,AFG,1801,,,3280000
Afghanistan,Low income,AFG,1923,,,9714452
Afghanistan,Low income,AFG,1100,,,2375009
Afghanistan,Low income,AFG,-5000,,,74999
Afghanistan,Low income,AFG,-4000,,,306250
Afghanistan,Low income,AFG,2018,,2033.80444335938,36686788
Afghanistan,Low income,AFG,2019,,2065.0361328125,37769496
Afghanistan,Low income,AFG,1882,,,4397907
Afghanistan,Low income,AFG,1909,,,5467828
Afghanistan,Low income,AFG,-1000,,,999998
Afghanistan,Low income,AFG,1918,,,9875230
Afghanistan,Low income,AFG,1919,,,10338650
Afghanistan,Low income,AFG,1842,,,3618522
Afghanistan,Low income,AFG,1844,,,3650971
Afghanistan,Low income,AFG,1790,,,3066156
Afghanistan,Low income,AFG,1887,,,4508616
Afghanistan,Low income,AFG,1802,,,3280000
Afghanistan,Low income,AFG,1888,,,4531082
Afghanistan,Low income,AFG,1889,,,4553657
Afghanistan,Low income,AFG,2017,,2058.40014648438,35643420
Afghanistan,Low income,AFG,2016,,2057.06787109375,34636212
Afghanistan,Low income,AFG,2014,,2102.38452148438,32716214
Afghanistan,Low income,AFG,1908,,,5330065
Afghanistan,Low income,AFG,1894,,,4668186
Afghanistan,Low income,AFG,1893,,,4645058
Afghanistan,Low income,AFG,1811,,,3280000
Afghanistan,Low income,AFG,1955,,,7971933
Afghanistan,Low income,AFG,1956,,,8087730
Afghanistan,Low income,AFG,1847,,,3700191
Afghanistan,Low income,AFG,1846,,,3683711
Afghanistan,Low income,AFG,1966,,,9783153
Afghanistan,Low income,AFG,1924,,,9204707
Afghanistan,Low income,AFG,-3000,,,537500
Afghanistan,Low income,AFG,1760,,,2866257
Afghanistan,Low income,AFG,1896,,,4714779
Afghanistan,Low income,AFG,1917,,,9171589
Afghanistan,Low income,AFG,2000,74,,19542986
Afghanistan,Low income,AFG,2001,76,,19688634
Afghanistan,Low income,AFG,2002,77,1189.78466796875,21000258
Afghanistan,Low income,AFG,1812,,,3280000
Afghanistan,Low income,AFG,1300,,,1749998
Afghanistan,Low income,AFG,1845,,,3667305
Afghanistan,Low income,AFG,1903,,,4998861
Afghanistan,Low income,AFG,1700,,,2500001
Afghanistan,Low income,AFG,1710,,,2561614
Afghanistan,Low income,AFG,1925,,,8721710
Afghanistan,Low income,AFG,1750,,,2802568
Afghanistan,Low income,AFG,2013,,2116.46533203125,31541216
Afghanistan,Low income,AFG,-2000,,,768751
Afghanistan,Low income,AFG,2011,77,1904.55993652344,29249156
Afghanistan,Low income,AFG,1877,,,4289851
Afghanistan,Low income,AFG,1878,,,4311253
Afghanistan,Low income,AFG,1954,,,7864289
Afghanistan,Low income,AFG,1809,,,3280000
Afghanistan,Low income,AFG,1900,,,4832414
Afghanistan,Low income,AFG,1959,,,8468220
Afghanistan,Low income,AFG,1960,,,8622473
Afghanistan,Low income,AFG,1961,,,8790140
Afghanistan,Low income,AFG,1967,,,10010037
Afghanistan,Low income,AFG,1890,,,4576341
Afghanistan,Low income,AFG,1895,,,4691426
Afghanistan,Low income,AFG,1916,,,8524936
Afghanistan,Low income,AFG,1892,,,4622041
Afghanistan,Low income,AFG,1851,,,3769828
Afghanistan,Low income,AFG,1852,,,3787706
Afghanistan,Low income,AFG,1853,,,3806634
Afghanistan,Low income,AFG,1866,,,4061270
Afghanistan,Low income,AFG,1200,,,2500001
Afghanistan,Low income,AFG,1902,,,4935122
Afghanistan,Low income,AFG,300,,,2500001
Afghanistan,Low income,AFG,1904,,,5063419
Afghanistan,Low income,AFG,500,,,2500001
Afghanistan,Low income,AFG,1968,,,10247782
Afghanistan,Low income,AFG,1740,,,2740283
Afghanistan,Low income,AFG,1891,,,4599136
Afghanistan,Low income,AFG,800,,,2350008
Afghanistan,Low income,AFG,1998,74,,18493134
Afghanistan,Low income,AFG,1907,,,5262120
Afghanistan,Low income,AFG,1997,74,,17788818
Afghanistan,Low income,AFG,1953,,,7764549
Afghanistan,Low income,AFG,1974,,,11869881
Afghanistan,Low income,AFG,2005,77,1286.79370117188,24411196
Afghanistan,Low income,AFG,2006,76,1315.7890625,25442946
Afghanistan,Low income,AFG,2007,77,1460.82580566406,25903306
Afghanistan,Low income,AFG,1911,,,5977589
Afghanistan,Low income,AFG,1913,,,6845878
Afghanistan,Low income,AFG,1804,,,3280000
Afghanistan,Low income,AFG,1915,,,7923871
Afghanistan,Low income,AFG,2012,,2075.49169921875,30466484
Afghanistan,Low income,AFG,1839,,,3570389
Afghanistan,Low income,AFG,1840,,,3586362
Afghanistan,Low income,AFG,1841,,,3602406
Afghanistan,Low income,AFG,1808,,,3280000
Afghanistan,Low income,AFG,1865,,,4041107
Afghanistan,Low income,AFG,1810,,,3280000
Afghanistan,Low income,AFG,1899,,,4793171
Afghanistan,Low income,AFG,1957,,,8210207
Afghanistan,Low income,AFG,1958,,,8333827
Afghanistan,Low income,AFG,1962,,,8969055
Afghanistan,Low income,AFG,1730,,,2679387
Afghanistan,Low income,AFG,1964,,,9355510
Afghanistan,Low income,AFG,1805,,,3280000
Afghanistan,Low income,AFG,1927,,,7830419
Afghanistan,Low income,AFG,1806,,,3280000
Afghanistan,Low income,AFG,1807,,,3280000
Afghanistan,Low income,AFG,900,,,2299999
Afghanistan,Low income,AFG,1973,,,11575308
Afghanistan,Low income,AFG,1867,,,4081532
Afghanistan,Low income,AFG,1868,,,4101893
Afghanistan,Low income,AFG,1901,,,4879685
Afghanistan,Low income,AFG,400,,,2500001
Afghanistan,Low income,AFG,200,,,2500001
Afghanistan,Low income,AFG,1963,,,9157463
Afghanistan,Low income,AFG,2021,,,40099460
Afghanistan,Low income,AFG,1999,74,,19262854
Afghanistan,Low income,AFG,1864,,,4021041
Afghanistan,Low income,AFG,1863,,,4001072
Afghanistan,Low income,AFG,1996,74,,17106600
Afghanistan,Low income,AFG,1836,,,3522896
Afghanistan,Low income,AFG,1995,75,,16418911
Afghanistan,Low income,AFG,1930,,,6866773
Afghanistan,Low income,AFG,1854,,,3825655
Afghanistan,Low income,AFG,1912,,,6363186
Afghanistan,Low income,AFG,1500,,,1999997
Afghanistan,Low income,AFG,1874,,,4226265
Afghanistan,Low income,AFG,2008,78,1484.11450195312,26427204
Afghanistan,Low income,AFG,2009,78,1758.90441894531,27385310
Afghanistan,Low income,AFG,2010,77,1957.02905273438,28189672
Afghanistan,Low income,AFG,1720,,,2619846
Afghanistan,Low income,AFG,1835,,,3507205
Afghanistan,Low income,AFG,1876,,,4268552
Afghanistan,Low income,AFG,1972,,,11286753
Afghanistan,Low income,AFG,1952,,,7667534
Afghanistan,Low income,AFG,1824,,,3339157
Afghanistan,Low income,AFG,1825,,,3354095
Afghanistan,Low income,AFG,1813,,,3280000
Afghanistan,Low income,AFG,1815,,,3280000
Afghanistan,Low income,AFG,100,,,2250002
Afghanistan,Low income,AFG,1816,,,3280000
Afghanistan,Low income,AFG,1905,,,5128808
Afghanistan,Low income,AFG,600,,,2500001
Afghanistan,Low income,AFG,1926,,,8264058
Afghanistan,Low income,AFG,1849,,,3734342
Afghanistan,Low income,AFG,1850,,,3752993
Afghanistan,Low income,AFG,1994,75,,15455560
Afghanistan,Low income,AFG,1928,,,7419535
Afghanistan,Low income,AFG,1929,,,7099916
Afghanistan,Low income,AFG,1969,,,10494491
Afghanistan,Low income,AFG,1943,,,6953820
Afghanistan,Low income,AFG,2003,78,1235.81005859375,22645136
Afghanistan,Low income,AFG,2004,78,1200.27795410156,23553554
Afghanistan,Low income,AFG,1870,,,4142928
Afghanistan,Low income,AFG,1600,,,2500001
Afghanistan,Low income,AFG,1872,,,4184386
Afghanistan,Low income,AFG,1906,,,5195038
Afghanistan,Low income,AFG,700,,,2425001
Afghanistan,Low income,AFG,1990,,,10694804
Afghanistan,Low income,AFG,1838,,,3554487
Afghanistan,Low income,AFG,1993,75,,14003764
Afghanistan,Low income,AFG,1823,,,3324285
Afghanistan,Low income,AFG,1941,,,6765457
Afghanistan,Low income,AFG,1931,,,6715569
Afghanistan,Low income,AFG,1855,,,3844769
Afghanistan,Low income,AFG,1814,,,3280000
Afghanistan,Low income,AFG,1936,,,6642004
Afghanistan,Low income,AFG,1858,,,3902671
Afghanistan,Low income,AFG,0,,,1999997
Afghanistan,Low income,AFG,1914,,,7365181
Afghanistan,Low income,AFG,1875,,,4247357
Afghanistan,Low income,AFG,1834,,,3491585
Afghanistan,Low income,AFG,1848,,,3716745
Afghanistan,Low income,AFG,1951,,,7571542
Afghanistan,Low income,AFG,1950,,,7480464
Afghanistan,Low income,AFG,1970,,,10752973
Afghanistan,Low income,AFG,1942,,,6848816
Afghanistan,Low income,AFG,1984,,,10243689
Afghanistan,Low income,AFG,1826,,,3369101
Afghanistan,Low income,AFG,1400,,,1874998
Afghanistan,Low income,AFG,1829,,,3414520
Afghanistan,Low income,AFG,1871,,,4163604
Afghanistan,Low income,AFG,1818,,,3280000
Afghanistan,Low income,AFG,1819,,,3282935
Afghanistan,Low income,AFG,1803,,,3280000
Afghanistan,Low income,AFG,1989,,,10673172
Afghanistan,Low income,AFG,1821,,,3297661
Afghanistan,Low income,AFG,1971,,,11015853
Afghanistan,Low income,AFG,1862,,,3981200
Afghanistan,Low income,AFG,1992,74,,12057436
Afghanistan,Low income,AFG,1986,,,10448447
Afghanistan,Low income,AFG,1932,,,6642004
Afghanistan,Low income,AFG,1933,,,6642004
Afghanistan,Low income,AFG,1934,,,6642004
Afghanistan,Low income,AFG,1935,,,6642004
Afghanistan,Low income,AFG,1831,,,3445140
Afghanistan,Low income,AFG,1873,,,4205274
Afghanistan,Low income,AFG,1991,,,10745168
Afghanistan,Low income,AFG,1948,,,7503485
Afghanistan,Low income,AFG,1939,,,6662371
Afghanistan,Low income,AFG,1987,,,10322767
Afghanistan,Low income,AFG,1822,,,3309479
Afghanistan,Low income,AFG,1940,,,6703416
Afghanistan,Low income,AFG,1820,,,3288817
Afghanistan,Low income,AFG,1981,,,11155196
Afghanistan,Low income,AFG,1975,,,12157390
Afghanistan,Low income,AFG,1869,,,4122358
Afghanistan,Low income,AFG,1828,,,3399313
Afghanistan,Low income,AFG,1947,,,7390182
Afghanistan,Low income,AFG,1817,,,3280000
Afghanistan,Low income,AFG,1837,,,3538656
Afghanistan,Low income,AFG,1965,,,9565154
Afghanistan,Low income,AFG,1856,,,3863976
Afghanistan,Low income,AFG,1949,,,7624058
Afghanistan,Low income,AFG,1937,,,6642004
Afghanistan,Low income,AFG,1988,,,10383459
Afghanistan,Low income,AFG,1985,,,10512220
Afghanistan,Low income,AFG,1830,,,3429796
Afghanistan,Low income,AFG,1945,,,7168681
Afghanistan,Low income,AFG,1976,,,12425276
Afghanistan,Low income,AFG,1859,,,3922160
Afghanistan,Low income,AFG,1980,,,12486640
Afghanistan,Low income,AFG,1861,,,3961424
Afghanistan,Low income,AFG,1938,,,6642004
Afghanistan,Low income,AFG,1832,,,3460553
Afghanistan,Low income,AFG,1827,,,3384173
Afghanistan,Low income,AFG,1857,,,3883276
Afghanistan,Low income,AFG,1978,,,12938864
Afghanistan,Low income,AFG,1944,,,7060433
Afghanistan,Low income,AFG,1833,,,3476034
Afghanistan,Low income,AFG,1983,,,9951447
Afghanistan,Low income,AFG,1860,,,3941745
Afghanistan,Low income,AFG,1979,,,12986378
Afghanistan,Low income,AFG,1982,,,10088290
Afghanistan,Low income,AFG,1946,,,7278589
Afghanistan,Low income,AFG,1977,,,12687308
Albania,Upper middle income,ALB,1864,,,572378
Albania,Upper middle income,ALB,1863,,,566882
Albania,Upper middle income,ALB,1810,,,418099
Albania,Upper middle income,ALB,1862,,,561438
Albania,Upper middle income,ALB,1861,,,556046
Albania,Upper middle income,ALB,1976,,,2713564
Albania,Upper middle income,ALB,1860,,,550706
Albania,Upper middle income,ALB,1977,,,2774798
Albania,Upper middle income,ALB,1865,,,577928
Albania,Upper middle income,ALB,0,,,198405
Albania,Upper middle income,ALB,1882,,,680260
Albania,Upper middle income,ALB,2020,,13191.9521484375,2866850
Albania,Upper middle income,ALB,1973,,,2520442
Albania,Upper middle income,ALB,1975,,,2650128
Albania,Upper middle income,ALB,1866,,,583532
Albania,Upper middle income,ALB,1980,,,2941650
Albania,Upper middle income,ALB,1895,,,771964
Albania,Upper middle income,ALB,1978,,,2833317
Albania,Upper middle income,ALB,1894,,,764292
Albania,Upper middle income,ALB,1856,,,529853
Albania,Upper middle income,ALB,1974,,,2585457
Albania,Upper middle income,ALB,1893,,,756696
Albania,Upper middle income,ALB,200,,,198803
Albania,Upper middle income,ALB,1972,,,2455181
Albania,Upper middle income,ALB,-1000,,,119043
Albania,Upper middle income,ALB,1881,,,673785
Albania,Upper middle income,ALB,1981,,,2992391
Albania,Upper middle income,ALB,1979,,,2888764
Albania,Upper middle income,ALB,300,,,199001
Albania,Upper middle income,ALB,1855,,,524764
Albania,Upper middle income,ALB,1892,,,749176
Albania,Upper middle income,ALB,1854,,,519724
Albania,Upper middle income,ALB,1858,,,540179
Albania,Upper middle income,ALB,1986,,,3207129
Albania,Upper middle income,ALB,1925,,,974995
Albania,Upper middle income,ALB,1926,,,980104
Albania,Upper middle income,ALB,2008,41,9912.162109375,2951690
Albania,Upper middle income,ALB,1814,,,425563
Albania,Upper middle income,ALB,1867,,,589190
Albania,Upper middle income,ALB,400,,,199201
Albania,Upper middle income,ALB,1992,60,3264.82543945312,3303738
Albania,Upper middle income,ALB,1869,,,600661
Albania,Upper middle income,ALB,1857,,,534991
Albania,Upper middle income,ALB,1891,,,741792
Albania,Upper middle income,ALB,2010,41,10749.4814453125,2913402
Albania,Upper middle income,ALB,2019,,13656.5927734375,2873883
Albania,Upper middle income,ALB,1843,,,484542
Albania,Upper middle income,ALB,1844,,,486722
Albania,Upper middle income,ALB,1845,,,488912
Albania,Upper middle income,ALB,100,,,198604
Albania,Upper middle income,ALB,1884,,,693398
Albania,Upper middle income,ALB,1993,59,3598.8154296875,3300715
Albania,Upper middle income,ALB,1886,,,706789
Albania,Upper middle income,ALB,1859,,,545417
Albania,Upper middle income,ALB,1851,,,505377
Albania,Upper middle income,ALB,1983,,,3087904
Albania,Upper middle income,ALB,1871,,,612314
Albania,Upper middle income,ALB,1853,,,514733
Albania,Upper middle income,ALB,-2000,,,71426
Albania,Upper middle income,ALB,1849,,,498261
Albania,Upper middle income,ALB,1971,,,2389820
Albania,Upper middle income,ALB,1805,,,408945
Albania,Upper middle income,ALB,2009,41,10313.916015625,2930553
Albania,Upper middle income,ALB,1811,,,419953
Albania,Upper middle income,ALB,1815,,,427449
Albania,Upper middle income,ALB,1813,,,423684
Albania,Upper middle income,ALB,1994,58,3921.62060546875,3294001
Albania,Upper middle income,ALB,1868,,,594903
Albania,Upper middle income,ALB,1889,,,727425
Albania,Upper middle income,ALB,1890,,,734542
Albania,Upper middle income,ALB,2006,43,8568.5615234375,3003391
Albania,Upper middle income,ALB,2007,42,9150.1298828125,2976089
Albania,Upper middle income,ALB,1985,,,3171727
Albania,Upper middle income,ALB,2002,50,6753.890625,3123554
Albania,Upper middle income,ALB,1987,,,3237677
Albania,Upper middle income,ALB,1957,,,1549575
Albania,Upper middle income,ALB,1872,,,618209
Albania,Upper middle income,ALB,1812,,,421814
Albania,Upper middle income,ALB,1875,,,636206
Albania,Upper middle income,ALB,1816,,,429344
Albania,Upper middle income,ALB,1817,,,431248
Albania,Upper middle income,ALB,1982,,,3041188
Albania,Upper middle income,ALB,1996,53,4908.939453125,3271336
Albania,Upper middle income,ALB,1852,,,509789
Albania,Upper middle income,ALB,-3000,,,42855
Albania,Upper middle income,ALB,1880,,,667371
Albania,Upper middle income,ALB,2018,,13317.0927734375,2877019
Albania,Upper middle income,ALB,1956,,,1500625
Albania,Upper middle income,ALB,2003,48,7154.00537109375,3092993
Albania,Upper middle income,ALB,-10000,,,1199
Albania,Upper middle income,ALB,1846,,,491112
Albania,Upper middle income,ALB,-9000,,,1999
Albania,Upper middle income,ALB,1885,,,700062
Albania,Upper middle income,ALB,1883,,,686798
